pickup_datetime,passenger_count,pk_id,dp_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,payment_type,total_amount,tip_amount,trip_distance
2011-02-01 00:06:53,1,2700,2598,-73.963087,40.77523,-73.97935099999998,40.746188000000004,8.9,CSH,9.9,,2.4
2011-02-01 00:06:55,1,742,2355,-73.97953099999998,40.739983,-73.98891999999998,40.726904,4.5,CSH,5.5,,1.0
2011-02-01 00:06:55,1,2542,296,-73.98638699999998,40.7262,-73.93860999999998,40.850091,27.3,CRD,33.96,5.66,10.8
2011-02-01 00:06:56,1,4332,4224,-74.006427,40.721736,-73.957555,40.800364,16.9,CRD,20.0,2.1,6.4
2011-02-01 00:06:57,1,2212,1503,-73.98676299999998,40.766711,-73.989328,40.758458000000005,3.7,CSH,4.7,,0.6
2011-02-01 00:07:00,1,981,202,-73.993128,40.736635,-73.96433,40.75893,10.5,CSH,11.5,,2.91
2011-02-01 00:07:00,5,1762,1113,-73.98838999999998,40.720115,-73.98095499999998,40.779513,14.9,CSH,15.9,,5.15
2011-02-01 00:07:00,1,610,2013,-73.93615799999999,40.850266999999995,-73.960972,40.777972,18.1,CRD,20.1,1.0,6.65
2011-02-01 00:07:00,2,3046,1327,-74.003783,40.722345000000004,-73.97884499999999,40.724103,7.7,CSH,8.699999999999998,,1.79
2011-02-01 00:07:00,2,1497,4036,-73.99213299999998,40.753705,-73.990032,40.772397,6.5,CRD,8.5,1.0,1.55
2011-02-01 00:07:00,3,3105,509,-73.974047,40.74302,-73.99087299999998,40.734673,7.3,CSH,8.3,,1.77
2011-02-01 00:07:00,5,890,813,-74.003033,40.733532000000004,-73.98722499999998,40.750721999999996,6.9,CSH,7.9,,1.74
2011-02-01 00:07:00,2,519,3285,-73.982252,40.77584,-74.00869299999998,40.735078,10.5,CRD,13.5,2.0,3.64
2011-02-01 00:07:00,5,2487,3297,-73.976433,40.755825,-73.979915,40.748259999999995,4.1,CRD,6.85,1.75,0.64
2011-02-01 00:07:00,5,1856,3598,-74.00396499999998,40.747895,-73.94304699999999,40.83644,18.1,CRD,22.82,3.72,7.57
2011-02-01 00:07:00,1,1106,641,-73.974968,40.750165,-73.95440999999998,40.779047999999996,8.5,CRD,11.5,2.0,2.35
2011-02-01 00:07:00,1,2071,1509,-73.99377699999998,40.74579,-73.985262,40.763453000000005,6.9,CSH,7.9,,1.75
2011-02-01 00:07:00,5,469,2567,-73.982028,40.766425,-73.988022,40.764917,3.7,CSH,4.7,,0.47
2011-02-01 00:07:00,2,737,1984,-73.98819799999998,40.743457,-74.00058299999999,40.737542,4.9,CSH,5.9,,1.04
2011-02-01 00:07:00,1,395,408,-73.95519799999998,40.76463,-73.94880499999998,40.773493,4.1,CSH,5.1,,0.72
2011-02-01 00:07:00,1,1495,1651,-73.99338,40.752445,-73.96085499999998,40.76981,9.7,CRD,13.7,3.0,2.78
2011-02-01 00:07:00,2,3927,2560,-73.999398,40.728237,-73.993993,40.756717,9.3,CRD,12.3,2.0,2.79
2011-02-01 00:07:00,1,2021,2898,-73.99204799999998,40.749552,-73.98621799999998,40.740155,4.5,CRD,7.0,1.5,0.98
2011-02-01 00:07:00,1,2290,4185,-73.975102,40.787504999999996,-73.981655,40.773552,5.3,CRD,7.4,1.1,1.19
