year,month,type,link
2015,8,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-08.csv
2015,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-09.csv
2015,9,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-09.csv
2015,9,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-09.csv
2015,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-10.csv
2015,10,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-10.csv
2015,10,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-10.csv
2015,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-11.csv
2015,11,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-11.csv
2015,11,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-11.csv
2015,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-12.csv
2015,12,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-12.csv
2015,12,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-12.csv
2014,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-01.csv
2014,1,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-01.csv
2014,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-02.csv
2014,2,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-02.csv
2014,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-03.csv
2014,3,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-03.csv
2014,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-04.csv
2014,4,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-04.csv
2014,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-05.csv
2014,5,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-05.csv
2014,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-06.csv
2014,6,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-06.csv
2014,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-07.csv
2014,7,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-07.csv
2014,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-08.csv
2014,8,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-08.csv
2014,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-09.csv
2014,9,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-09.csv
2014,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-10.csv
2014,10,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-10.csv
2014,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-11.csv
2014,11,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-11.csv
2014,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2014-12.csv
2014,12,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2014-12.csv
2013,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-01.csv
2013,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-02.csv
2013,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-03.csv
2013,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-04.csv
2013,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-05.csv
2013,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-06.csv
2013,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-07.csv
2013,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-08.csv
2013,8,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2013-08.csv
2013,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-09.csv
2013,9,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2013-09.csv
2013,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-10.csv
2013,10,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2013-10.csv
2013,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-11.csv
2013,11,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2013-11.csv
2013,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2013-12.csv
2013,12,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2013-12.csv
2012,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-01.csv
2012,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-02.csv
2012,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-03.csv
2012,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-04.csv
2012,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-05.csv
2012,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-06.csv
2012,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-07.csv
2012,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-08.csv
2012,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-09.csv
2012,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-10.csv
2012,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-11.csv
2012,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2012-12.csv
2011,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-01.csv
2011,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-02.csv
2011,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-03.csv
2011,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-04.csv
2011,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-05.csv
2011,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-06.csv
2011,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-07.csv
2011,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-08.csv
2011,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-09.csv
2011,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-10.csv
2011,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-11.csv
2011,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2011-12.csv
2010,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-01.csv
2010,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-02.csv
2010,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-03.csv
2010,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-04.csv
2010,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-05.csv
2010,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-06.csv
2010,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-07.csv
2010,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-08.csv
2010,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-09.csv
2010,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-10.csv
2010,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-11.csv
2010,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2010-12.csv
2009,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-01.csv
2009,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-02.csv
2009,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-03.csv
2009,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-04.csv
2009,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-05.csv
2009,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-06.csv
2009,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-07.csv
2009,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-08.csv
2009,9,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-09.csv
2009,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-10.csv
2009,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-11.csv
2009,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2009-12.csv
