id,node_lon,node_lat,center_id,center_lon,center_lat
3323,-73.9395205,40.8492533,3510,-73.9305458,40.8454272
3324,-73.9399675,40.848994,3360,-73.9419087,40.8492292
3325,-73.9327028,40.8465726,3360,-73.9419087,40.8492292
3326,-73.931733,40.8461619,3360,-73.9419087,40.8492292
3327,-73.9314737,40.8456728,3360,-73.9419087,40.8492292
3328,-73.9307212,40.8452321,3510,-73.9305458,40.8454272
3329,-73.9323852,40.846795,3510,-73.9305458,40.8454272
3330,-73.9332151,40.8387843,4387,-73.9356338,40.8315482
3331,-73.933289,40.838994,3331,-73.933289,40.838994
3332,-73.9332979,40.847227,3510,-73.9305458,40.8454272
3333,-73.9336011,40.8469279,3360,-73.9419087,40.8492292
3334,-73.9391904,40.8486855,3360,-73.9419087,40.8492292
3335,-73.9411301,40.8490251,3360,-73.9419087,40.8492292
3336,-73.9401439,40.8488349,3360,-73.9419087,40.8492292
3337,-73.9389502,40.8493123,3360,-73.9419087,40.8492292
3338,-73.9420228,40.8483226,3360,-73.9419087,40.8492292
3339,-73.9410112,40.8505201,3510,-73.9305458,40.8454272
3340,-73.9419096,40.8506172,3360,-73.9419087,40.8492292
3341,-73.9432887,40.84598,3360,-73.9419087,40.8492292
3342,-73.9434687,40.8457527,3360,-73.9419087,40.8492292
3343,-73.9444103,40.8467571,3360,-73.9419087,40.8492292
3344,-73.9448686,40.8450137,3344,-73.9448686,40.8450137
3345,-73.9443833,40.8414624,3344,-73.9448686,40.8450137
3346,-73.9440914,40.8421442,3344,-73.9448686,40.8450137
3347,-73.9439892,40.8432621,3344,-73.9448686,40.8450137
3348,-73.9439547,40.8438139,3344,-73.9448686,40.8450137
3349,-73.9437395,40.8452609,3344,-73.9448686,40.8450137
3350,-73.9435078,40.8463062,3344,-73.9448686,40.8450137
3351,-73.9436022,40.8477216,3344,-73.9448686,40.8450137
3352,-73.9430557,40.8487361,3344,-73.9448686,40.8450137
3353,-73.9430192,40.8491109,3344,-73.9448686,40.8450137
3354,-73.9431426,40.8499103,3344,-73.9448686,40.8450137
3355,-73.9440702,40.8459938,12,-73.9433047,40.8514984
3356,-73.9456793,40.8414105,12,-73.9433047,40.8514984
3357,-73.945439,40.8417546,587,-73.945481,40.8334857
3358,-73.943275,40.8450384,3344,-73.9448686,40.8450137
3359,-73.9430784,40.8466891,3344,-73.9448686,40.8450137
3360,-73.9419087,40.8492292,3360,-73.9419087,40.8492292
3361,-73.9426705,40.8483211,3360,-73.9419087,40.8492292
3362,-73.9419631,40.8517114,3360,-73.9419087,40.8492292
3363,-73.9412811,40.8523733,3360,-73.9419087,40.8492292
3364,-73.9431418,40.8458348,3344,-73.9448686,40.8450137
3365,-73.9760921,40.7968698,3365,-73.9760921,40.7968698
3366,-73.976735,40.796025,3365,-73.9760921,40.7968698
3367,-73.9832475,40.7871601,3365,-73.9760921,40.7968698
3368,-73.9867833,40.7815396,422,-73.9816869,40.7836714
3369,-73.9854186,40.7836778,422,-73.9816869,40.7836714
3370,-73.9942173,40.7715086,3227,-73.988561,40.7691175
3371,-73.9875649,40.78022,422,-73.9816869,40.7836714
3372,-73.9936615,40.7729345,3227,-73.988561,40.7691175
3373,-73.9942298,40.7719296,87,-73.9898474,40.777978
3374,-73.9946653,40.7708053,87,-73.9898474,40.777978
3375,-73.994406,40.7707138,3227,-73.988561,40.7691175
3376,-73.9945289,40.7699313,3227,-73.988561,40.7691175
3377,-73.9957466,40.7679988,3388,-74.0010621,40.7619572
3378,-73.9962295,40.7673468,3388,-74.0010621,40.7619572
3379,-73.9948535,40.7692528,3227,-73.988561,40.7691175
3380,-73.9995869,40.7630545,3388,-74.0010621,40.7619572
3381,-73.9984938,40.7642384,3388,-74.0010621,40.7619572
3382,-73.997585,40.7654859,3388,-74.0010621,40.7619572
3383,-73.9966729,40.7667381,3388,-74.0010621,40.7619572
3384,-74.0003097,40.7625412,3388,-74.0010621,40.7619572
3385,-73.9989689,40.7636177,3388,-74.0010621,40.7619572
3386,-73.9980379,40.7648642,3388,-74.0010621,40.7619572
3387,-73.997127,40.7661147,3388,-74.0010621,40.7619572
3388,-74.0010621,40.7619572,3388,-74.0010621,40.7619572
3389,-73.9752404,40.7552643,1126,-73.979483,40.755405
3390,-73.9756983,40.7546344,1126,-73.979483,40.755405
3391,-74.0014825,40.7070868,4523,-74.0008317,40.7130749
3392,-74.0095878,40.7020107,3392,-74.0095878,40.7020107
3393,-73.9968491,40.7090266,14,-73.985987,40.7104777
3394,-73.9992643,40.7087705,4523,-74.0008317,40.7130749
3395,-74.0076956,40.7477566,655,-74.0074994,40.7409399
3396,-74.0078318,40.7480596,655,-74.0074994,40.7409399
3397,-74.0084362,40.7447675,655,-74.0074994,40.7409399
3398,-74.0062107,40.7499808,3461,-73.9980331,40.7510669
3399,-74.0065691,40.7495415,3461,-73.9980331,40.7510669
3400,-74.0076496,40.7481843,655,-74.0074994,40.7409399
3401,-74.0070372,40.7489204,655,-74.0074994,40.7409399
3402,-74.0084826,40.7503864,655,-74.0074994,40.7409399
3403,-74.008536,40.7441719,655,-74.0074994,40.7409399
